bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
7,3,N/A,0,"Tarkeshwor Municipality Head Office, Tarkeshwor, Kathmandu",4,,,,10,Soil Stabilized,2,729,8000000
0,3,N/A,1,"A New House Sale in Sitapaila, Sitapaila, Kathmandu",4,,,,13,Soil Stabilized,0.166666667,729,25000000
2,1,1.5,1,"PaniTyanki, Tikathali, Lalitpur",0,2,3,0,13,Gravelled,1,941.18,11200000
5,5,2.5,4,"Nayabasti, Imadol, Imadol, Lalitpur",0,3,1,1,13,Gravelled,1,1133.7,22000000
8,5,4,2,"Sital Height, Imadol, Imadol, Lalitpur",0,4,0,0,13,Gravelled,0.666666667,1369,33500000
5,3,2.5,1,"sital height, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
4,4,3,1,"Na, Dhapasi, Kathmandu",5,,,,20,Blacktopped,2,911.25,33500000
4,2,N/A,0,"Halchowk, Swayambhu, Kathmandu",4,8,,,16,Soil Stabilized,3,3467,13000000
0,2,3,0,"dathulan road house, Chakupat, Lalitpur",1,,,,1,Concrete,2,182.25,8700000
4,4,3,2,"NA, Budhanilkantha, Kathmandu",5,,,,15,Blacktopped,2,911.25,30500000
5,3,3,0,"Near Buddha Party Palace, Imadol, Lalitpur",3,5,,,13,Blacktopped,2,2258,16500000
2,2,N/A,0,"house, Baluwatar, Kathmandu",0,1,1,0,13,Blacktopped,2,427.81,11200000
5,3,2,1,"Harissidi, Harisiddhi, Lalitpur",3,5,,,0,Soil Stabilized,1,2258,20000000
6,4,4,3,"Samakhusi, Samakhusi, Kathmandu",0,3,0,1,10,Soil Stabilized,2,1048.14,22500000
7,4,2,1,"Katyayani Temple, Mid Baneshwor, Kathmandu",0,7,0,0,10,Concrete,2,2395.75,50000000
2,1,1,1,"Shrijana basti, Kumari marga, Sukedhara, Kathmandu",0,,,,13,Blacktopped,0.166666667,0,19500000
4,4,3,1,"Sitapaila, Sitapaila, Kathmandu",3,1,,,13,Gravelled,2,889,18000000
6,4,N/A,1,"Bhatkepati, Machhegaun, Kirtipur",0,7,2,,13,Soil Stabilized,1,2566.87,27500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,0.666666667,1112.31,21000000
5,3,3,1,"Hattiban, Lalitpur, Imadol, Lalitpur",3,1,,,13,Blacktopped,2,889,18000000
5,5,N/A,0,"Budhanilkantha, Budhanilkantha, Kathmandu",6,,,,16,Blacktopped,0.666666667,1093.5,55000000
5,3,3,0,"jarankhu kapresthali, Joranku, Kathmandu",0,3,0,0,8,Soil Stabilized,2,1026.75,15900000
7,3,3,0,"Panchetar, Tokha, Kathmandu",0,4,2,0,10,Gravelled,2,1540.12,24500000
4,2,1.5,1,"Nearby Buddha party palace, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,13000000
7,2,3,0,"Krishna Mandir, Imadol, Lalitpur",0,3,3,2,13,Gravelled,2,1326.21,22500000
6,5,3,3,"Shantichow, Nakhipot, Lalitpur",0,8,3,3,20,Blacktopped,1,3058.85,57500000
4,3,N/A,0,"Basundhara, Basundhara, Kathmandu",5,5,,,16,Gravelled,2,2622.5,32500000
5,3,2,1,"Dhapasi-6, Dhapasi, Kathmandu",3,,,,13,Paved,0.916666667,546.75,21000000
8,4,N/A,1,"Rayamajhi, Naya Bazar, Kathmandu",0,3,1,0,0,Soil Stabilized,2,1112.31,32000000
4,4,N/A,1,"Sainbu, Bhaisepati, Lalitpur",0,5,2,0,20,Blacktopped,2,1882.37,35200000
6,4,3,1,"Budanilkantha, Sunderbasti, Kathmandu",0,5,0,3,13,Soil Stabilized,3,1775.42,27500000
